Average of regret,Column Labels,,,,,
Row Labels,Deterministic,DeterministicAlternating,EpsilonFirst,EpsilonGreedy,Exp3,Grand Total
139,0.244285714,0.135714286,0.052857143,0.028571429,0.161428571,0.124571429
140,0.241134752,0.140425532,0.05248227,0.028368794,0.160283688,0.124539007
141,0.245070423,0.13943662,0.052112676,0.028169014,0.157746479,0.124507042
142,0.241958042,0.137062937,0.051748252,0.027972028,0.156643357,0.123076923
143,0.238888889,0.136111111,0.051388889,0.027777778,0.154166667,0.121666667
144,0.242758621,0.140689655,0.051034483,0.027586207,0.153103448,0.123034483
145,0.239726027,0.139726027,0.050684932,0.02739726,0.157534247,0.123013699
146,0.236734694,0.144217687,0.050340136,0.027210884,0.155102041,0.122721088
147,0.240540541,0.143243243,0.05,0.027027027,0.152702703,0.122702703
148,0.237583893,0.140939597,0.04966443,0.026845638,0.151677852,0.121342282
149,0.241333333,0.14,0.049333333,0.026666667,0.150666667,0.1216
150,0.238410596,0.137748344,0.049006623,0.026490066,0.149668874,0.120264901
151,0.242105263,0.136842105,0.048684211,0.026315789,0.153947368,0.121578947
152,0.239215686,0.134640523,0.048366013,0.026143791,0.152941176,0.120261438
153,0.236363636,0.133766234,0.048051948,0.025974026,0.151948052,0.119220779
154,0.233548387,0.138064516,0.047741935,0.025806452,0.150967742,0.119225806
155,0.230769231,0.137179487,0.047435897,0.025641026,0.15,0.118205128
156,0.228025478,0.141401274,0.047133758,0.025477707,0.149044586,0.118216561
157,0.225316456,0.140506329,0.046835443,0.025316456,0.148101266,0.11721519
158,0.222641509,0.13836478,0.046540881,0.025157233,0.147169811,0.115974843
159,0.22,0.1375,0.04625,0.025,0.14625,0.115
160,0.217391304,0.141614907,0.045962733,0.02484472,0.145341615,0.115031056
161,0.214814815,0.140740741,0.045679012,0.024691358,0.143209877,0.11382716
162,0.218404908,0.138650307,0.045398773,0.024539877,0.142331288,0.113865031
163,0.22195122,0.137804878,0.045121951,0.024390244,0.141463415,0.114146341
164,0.219393939,0.135757576,0.044848485,0.024242424,0.139393939,0.112727273
165,0.21686747,0.134939759,0.044578313,0.024096386,0.138554217,0.111807229
166,0.214371257,0.138922156,0.044311377,0.023952096,0.137724551,0.111856287
167,0.211904762,0.138095238,0.044047619,0.023809524,0.136904762,0.110952381
168,0.215384615,0.142011834,0.043786982,0.023668639,0.136094675,0.112189349
169,0.212941176,0.141176471,0.043529412,0.023529412,0.14,0.112235294
170,0.216374269,0.14502924,0.043274854,0.023391813,0.139181287,0.113450292
