"","regret","regret","regret","regret","regret"
"name","Deterministic","DeterministicAlternating","EpsilonFirst","EpsilonGreedy","Exp3"
"trial","","","","",""
"46","0.9787234042553191","1.5319148936170213","0.46808510638297873","0.06382978723404255","0.40425531914893614"
"47","0.9791666666666666","1.5","0.4583333333333333","0.0625","0.3958333333333333"
"48","0.9795918367346939","1.530612244897959","0.46938775510204084","0.061224489795918366","0.3877551020408163"
"49","0.98","1.5","0.48","0.08","0.38"
"50","0.9803921568627451","1.5294117647058822","0.47058823529411764","0.0784313725490196","0.37254901960784315"
"51","0.9807692307692307","1.5","0.46153846153846156","0.07692307692307693","0.38461538461538464"
"52","0.9811320754716981","1.528301886792453","0.4528301886792453","0.09433962264150944","0.37735849056603776"
"53","0.9814814814814815","1.5","0.4444444444444444","0.09259259259259259","0.3888888888888889"
"54","0.9818181818181818","1.5272727272727273","0.43636363636363634","0.09090909090909091","0.4"
"55","0.9821428571428571","1.5","0.42857142857142855","0.08928571428571429","0.39285714285714285"
"56","0.9824561403508771","1.5263157894736843","0.42105263157894735","0.08771929824561403","0.38596491228070173"
"57","0.9827586206896551","1.5","0.41379310344827586","0.08620689655172414","0.39655172413793105"
"58","0.9830508474576272","1.5254237288135593","0.4067796610169492","0.0847457627118644","0.3898305084745763"
"59","0.9833333333333333","1.5","0.4","0.08333333333333333","0.38333333333333336"
"60","0.9836065573770492","1.5245901639344261","0.39344262295081966","0.09836065573770492","0.3770491803278688"
"61","0.9838709677419355","1.5","0.3870967741935484","0.0967741935483871","0.3709677419354839"
"62","0.9841269841269841","1.5238095238095237","0.38095238095238093","0.09523809523809523","0.36507936507936506"
"63","0.984375","1.5","0.375","0.09375","0.375"
"64","0.9846153846153847","1.523076923076923","0.36923076923076925","0.09230769230769231","0.38461538461538464"
"65","0.9848484848484849","1.5","0.36363636363636365","0.09090909090909091","0.3787878787878788"
"66","0.9850746268656716","1.5223880597014925","0.3582089552238806","0.08955223880597014","0.373134328358209"
"67","0.9852941176470589","1.5","0.35294117647058826","0.10294117647058823","0.36764705882352944"
"68","0.9855072463768116","1.5217391304347827","0.34782608695652173","0.10144927536231885","0.36231884057971014"
"69","0.9857142857142858","1.5","0.34285714285714286","0.1","0.35714285714285715"
"70","0.9859154929577465","1.5211267605633803","0.3380281690140845","0.09859154929577464","0.352112676056338"
"71","0.9861111111111112","1.5","0.3333333333333333","0.09722222222222222","0.3611111111111111"
"72","0.9863013698630136","1.5205479452054795","0.3287671232876712","0.0958904109589041","0.3561643835616438"
"73","0.9864864864864865","1.5","0.33783783783783783","0.0945945945945946","0.36486486486486486"
"74","0.9866666666666667","1.52","0.3333333333333333","0.09333333333333334","0.37333333333333335"
"75","0.9868421052631579","1.5","0.32894736842105265","0.09210526315789473","0.3684210526315789"
