"","regret","regret","regret","regret","regret"
"name","Deterministic","DeterministicAlternating","EpsilonFirst","EpsilonGreedy","Exp3"
"trial","","","","",""
"41","1.376151771030849","4.0347868517610435","4.868603039470021","1.0745246037139917","3.385835674959575"
"42","1.3496479958674679","4.055262759067629","4.880064869129256","1.0453265390063253","3.412225257749062"
"43","1.3187861320977332","4.067247108543165","4.88877507484193","1.02195053092238","3.451409689132531"
"44","1.342030026225795","4.081004594184445","4.925391186705958","1.0890038119742333","3.5083133748729267"
"45","1.359219091414715","4.123739330841684","4.936959790195612","1.0759637809959839","3.367238079648216"
"46","1.3281612301364114","4.194624538289499","4.928136441236953","1.0529838922716903","3.389075762006775"
"47","1.3033428168959433","4.226217357379222","4.971928957115458","1.0238349772156383","3.4234862571135536"
"48","1.291057506251694","4.2531920167680735","4.986545314343551","0.9967975009787484","3.4494599834305766"
"49","1.2879768793375317","4.145435246121377","4.984284285516597","0.9699543852379339","3.4561244973583127"
"50","1.2877802623852777","4.198155313160606","4.662693035399928","1.0129000435653854","3.408742114789616"
"51","1.2780783492386776","4.228944844808906","4.593476328288756","1.0041767099604657","3.4545553140316514"
"52","1.288718965763563","4.253331870019349","4.594945043320058","0.9910158000268803","3.352870993424687"
"53","1.2953411094680438","4.281356768357153","4.4663583175671","0.9735146087210572","3.3814507800244504"
"54","1.3219340896821667","4.118721770608193","4.293287716954846","0.9531320966324327","3.4271474372982405"
"55","1.3352769951335248","4.143424490238311","4.23667121785828","0.9310763317221473","3.436325522792235"
"56","1.3608144793422783","4.189976226305825","4.10548784264442","0.912595480420612","3.4660727095179595"
"57","1.3680559622206103","4.206602729169452","3.9509378355888325","0.8973295533531294","3.4861509068592893"
"58","1.3712986462828747","4.227103074718271","3.8281562891564094","0.9631554322404515","3.518402678052581"
"59","1.3892354651626941","4.131547462325055","3.765581223849602","0.9497690046230555","3.4606904722845195"
"60","1.3958679706586263","4.16124973846073","3.719752305720451","0.9335673588226092","3.480064857170994"
"61","1.394181215021264","4.192977510608517","3.6134656178975932","0.9607830438960484","3.4876372110789746"
"62","1.3991741079826272","4.229644934871854","3.5518967685206277","0.9419234625625365","3.4675212989278252"
"63","1.4079173197023382","4.22933310810423","3.5150111934459556","0.9293356198930516","3.4170947363636026"
"64","1.4228493376069213","4.089791247912407","3.412410874809535","0.91731048414339","3.4378063933121172"
"65","1.4112710893769855","4.077737642281013","3.3421849028908586","0.901418320112659","3.4754227939453863"
"66","1.3973336402571181","4.076338871888142","3.2981023314646682","0.8884593058805329","3.501771877420364"
"67","1.3779242176237583","4.095026616749479","3.3025410086131615","0.8747192072824541","3.4879372303333858"
"68","1.3942906522134877","4.102381460673873","3.270109698408933","0.8621706710475717","3.5116392180487144"
"69","1.4045286217578479","4.068554333900366","3.233867387009241","0.8415437950656383","3.5419130557919405"
