Average of regret,Column Labels,,,,,
Row Labels,Deterministic,DeterministicAlternating,EpsilonFirst,EpsilonGreedy,Exp3,Grand Total
243,0.008196721,0,0.196721311,0.090163934,0.286885246,0.116393443
244,0.008163265,0,0.195918367,0.089795918,0.285714286,0.115918367
245,0.008130081,0,0.195121951,0.089430894,0.284552846,0.115447154
246,0.008097166,0,0.194331984,0.089068826,0.28340081,0.114979757
247,0.008064516,0,0.193548387,0.088709677,0.282258065,0.114516129
248,0.008032129,0,0.192771084,0.088353414,0.281124498,0.114056225
249,0.008,0,0.192,0.088,0.28,0.1136
250,0.007968127,0,0.19123506,0.087649402,0.278884462,0.11314741
251,0.007936508,0,0.19047619,0.087301587,0.277777778,0.112698413
252,0.007905138,0,0.18972332,0.086956522,0.276679842,0.112252964
253,0.007874016,0,0.188976378,0.086614173,0.275590551,0.111811024
254,0.007843137,0,0.188235294,0.094117647,0.274509804,0.112941176
255,0.0078125,0,0.1875,0.1015625,0.2734375,0.1140625
256,0.007782101,0,0.186770428,0.101167315,0.272373541,0.113618677
257,0.007751938,0,0.186046512,0.100775194,0.271317829,0.113178295
258,0.007722008,0,0.185328185,0.1003861,0.27027027,0.112741313
259,0.007692308,0,0.184615385,0.1,0.269230769,0.112307692
260,0.007662835,0,0.183908046,0.099616858,0.268199234,0.111877395
261,0.007633588,0,0.183206107,0.099236641,0.267175573,0.111450382
262,0.007604563,0,0.182509506,0.098859316,0.266159696,0.111026616
263,0.007575758,0,0.181818182,0.098484848,0.265151515,0.110606061
264,0.00754717,0,0.181132075,0.098113208,0.264150943,0.110188679
265,0.007518797,0,0.180451128,0.097744361,0.263157895,0.109774436
266,0.007490637,0,0.179775281,0.097378277,0.262172285,0.109363296
267,0.007462687,0,0.179104478,0.097014925,0.26119403,0.108955224
268,0.007434944,0,0.178438662,0.096654275,0.260223048,0.108550186
269,0.007407407,0,0.177777778,0.096296296,0.259259259,0.108148148
270,0.007380074,0,0.177121771,0.095940959,0.258302583,0.107749077
271,0.007352941,0,0.176470588,0.095588235,0.257352941,0.107352941
272,0.007326007,0,0.175824176,0.095238095,0.256410256,0.106959707
273,0.00729927,0,0.175182482,0.094890511,0.255474453,0.106569343
274,0.007272727,0,0.174545455,0.094545455,0.254545455,0.106181818
275,0.007246377,0,0.173913043,0.094202899,0.253623188,0.105797101
276,0.007220217,0,0.173285199,0.093862816,0.252707581,0.105415162
277,0.007194245,0,0.172661871,0.09352518,0.251798561,0.105035971
278,0.007168459,0,0.172043011,0.093189964,0.250896057,0.104659498
279,0.007142857,0,0.171428571,0.092857143,0.25,0.104285714
280,0.007117438,0,0.170818505,0.09252669,0.24911032,0.103914591
281,0.007092199,0,0.170212766,0.092198582,0.24822695,0.103546099
282,0.007067138,0,0.169611307,0.091872792,0.247349823,0.103180212
283,0.007042254,0,0.169014085,0.091549296,0.246478873,0.102816901
284,0.007017544,0,0.168421053,0.09122807,0.245614035,0.10245614
285,0.006993007,0,0.167832168,0.090909091,0.244755245,0.102097902
286,0.006968641,0,0.167247387,0.097560976,0.243902439,0.103135889
287,0.006944444,0,0.166666667,0.097222222,0.243055556,0.102777778
288,0.006920415,0,0.166089965,0.096885813,0.242214533,0.102422145
289,0.006896552,0,0.165517241,0.096551724,0.24137931,0.102068966
290,0.006872852,0,0.164948454,0.096219931,0.240549828,0.101718213
291,0.006849315,0,0.164383562,0.095890411,0.239726027,0.101369863
292,0.006825939,0,0.163822526,0.09556314,0.23890785,0.101023891
293,0.006802721,0,0.163265306,0.102040816,0.238095238,0.102040816
294,0.006779661,0,0.162711864,0.101694915,0.237288136,0.101694915
295,0.006756757,0,0.162162162,0.101351351,0.236486486,0.101351351
