Average of regret,Column Labels,,,,,
Row Labels,Deterministic,DeterministicAlternating,EpsilonFirst,EpsilonGreedy,Exp3,Grand Total
229,1.223682786,4.127155049,0.93189149,0.551556203,1.839578223,1.73477275
230,1.223392106,4.130223435,0.92851872,0.569707099,1.829870606,1.736342393
231,1.2306395,4.135083366,0.925608185,0.567621677,1.821899488,1.736170443
232,1.234275087,4.145891643,0.923385194,0.565366559,1.814159309,1.736615558
233,1.226084456,4.1518133,0.918617886,0.563494452,1.803469628,1.732695944
234,1.220833719,4.148822657,0.913650444,0.559772612,1.797341087,1.728084104
235,1.219095743,4.154992097,0.90951803,0.557132237,1.790970686,1.726341758
236,1.222836883,4.162548658,0.907067567,0.554726749,1.78672381,1.726780733
237,1.223584272,4.169526829,0.904194326,0.552502866,1.783477532,1.726657165
238,1.218064198,4.170513763,0.901624214,0.550179923,1.773914715,1.722859363
239,1.214913381,4.138154419,0.898512516,0.548077819,1.761512222,1.712234071
240,1.211506736,4.146372445,0.89384401,0.556233736,1.756394666,1.712870319
241,1.212348937,4.153159186,0.892062761,0.575774197,1.750240763,1.716717169
242,1.207993167,4.162052221,0.88894633,0.573142807,1.747941512,1.716015207
243,1.203621432,4.169300448,0.885616822,0.570422729,1.74232172,1.71425663
244,1.203948007,4.133393959,0.88279996,0.567132479,1.735114105,1.704477702
245,1.205031302,4.133945436,0.878036995,0.564655075,1.728761759,1.702086113
246,1.201801419,4.136424047,0.875354166,0.561776942,1.721231466,1.699317608
247,1.201136583,4.13760897,0.87181687,0.559733146,1.715011599,1.697061434
248,1.197600158,4.141724994,0.868911416,0.557730468,1.70554115,1.694301637
249,1.201215797,4.09407958,0.865405358,0.578253785,1.697405247,1.687271953
250,1.204351544,4.101848118,0.861465843,0.576362744,1.691355232,1.687076696
251,1.210197979,4.102144401,0.857851982,0.573211521,1.685942238,1.685869624
252,1.208058588,4.106033371,0.855136558,0.571230343,1.678774015,1.683846575
253,1.211813542,4.113534532,0.851817388,0.569296635,1.671876496,1.683667719
254,1.200366319,4.088535746,0.84570888,0.5680565,1.6644754,1.673428569
255,1.195436254,4.086985838,0.84344465,0.565928374,1.657938353,1.669946694
256,1.193744531,4.092000733,0.841141251,0.563274319,1.651493527,1.668330872
257,1.196679804,4.091890124,0.839097208,0.560739143,1.64536747,1.66675475
