Sum of regret,Column Labels,,,,,
Row Labels,Deterministic,DeterministicAlternating,EpsilonFirst,EpsilonGreedy,Exp3,Grand Total
44,0.044444444,0,0.8,0.133333333,0.933333333,1.911111111
45,0.043478261,0,0.826086957,0.130434783,0.913043478,1.913043478
46,0.042553191,0,0.85106383,0.127659574,0.893617021,1.914893617
47,0.041666667,0,0.875,0.166666667,0.916666667,2
48,0.040816327,0,0.897959184,0.163265306,0.897959184,2
49,0.04,0,0.88,0.16,0.88,1.96
50,0.039215686,0,0.862745098,0.156862745,0.862745098,1.921568627
51,0.038461538,0,0.846153846,0.153846154,0.884615385,1.923076923
52,0.037735849,0,0.830188679,0.150943396,0.905660377,1.924528302
53,0.037037037,0,0.814814815,0.148148148,0.888888889,1.888888889
54,0.036363636,0,0.8,0.145454545,0.872727273,1.854545455
55,0.035714286,0,0.785714286,0.142857143,0.857142857,1.821428571
56,0.035087719,0,0.771929825,0.140350877,0.877192982,1.824561404
57,0.034482759,0,0.75862069,0.172413793,0.862068966,1.827586207
58,0.033898305,0,0.745762712,0.169491525,0.847457627,1.796610169
59,0.033333333,0,0.733333333,0.166666667,0.833333333,1.766666667
60,0.032786885,0,0.721311475,0.163934426,0.819672131,1.737704918
61,0.032258065,0,0.709677419,0.161290323,0.806451613,1.709677419
62,0.031746032,0,0.698412698,0.158730159,0.793650794,1.682539683
63,0.03125,0,0.6875,0.15625,0.78125,1.65625
64,0.030769231,0,0.676923077,0.153846154,0.769230769,1.630769231
65,0.03030303,0,0.666666667,0.151515152,0.757575758,1.606060606
66,0.029850746,0,0.656716418,0.149253731,0.746268657,1.582089552
67,0.029411765,0,0.647058824,0.147058824,0.735294118,1.558823529
68,0.028985507,0,0.637681159,0.173913043,0.724637681,1.565217391
69,0.028571429,0,0.628571429,0.171428571,0.742857143,1.571428571
70,0.028169014,0,0.61971831,0.169014085,0.76056338,1.577464789
71,0.027777778,0,0.611111111,0.166666667,0.75,1.555555556
72,0.02739726,0,0.602739726,0.164383562,0.739726027,1.534246575
73,0.027027027,0,0.594594595,0.162162162,0.72972973,1.513513514
74,0.026666667,0,0.586666667,0.16,0.72,1.493333333
75,0.026315789,0,0.578947368,0.184210526,0.710526316,1.5
76,0.025974026,0,0.571428571,0.181818182,0.701298701,1.480519481
77,0.025641026,0,0.564102564,0.179487179,0.692307692,1.461538462
78,0.025316456,0,0.556962025,0.17721519,0.683544304,1.443037975
79,0.025,0,0.55,0.175,0.675,1.425
80,0.024691358,0,0.543209877,0.172839506,0.666666667,1.407407407
81,0.024390244,0,0.536585366,0.170731707,0.658536585,1.390243902
82,0.024096386,0,0.530120482,0.168674699,0.674698795,1.397590361
83,0.023809524,0,0.523809524,0.166666667,0.666666667,1.380952381
84,0.023529412,0,0.517647059,0.164705882,0.658823529,1.364705882
85,0.023255814,0,0.511627907,0.162790698,0.651162791,1.348837209
86,0.022988506,0,0.505747126,0.16091954,0.643678161,1.333333333
87,0.022727273,0,0.5,0.181818182,0.636363636,1.340909091
88,0.02247191,0,0.494382022,0.179775281,0.629213483,1.325842697
89,0.022222222,0,0.488888889,0.177777778,0.622222222,1.311111111
90,0.021978022,0,0.483516484,0.175824176,0.637362637,1.318681319
91,0.02173913,0,0.47826087,0.173913043,0.630434783,1.304347826
92,0.021505376,0,0.47311828,0.172043011,0.623655914,1.290322581
93,0.021276596,0,0.468085106,0.170212766,0.617021277,1.276595745
94,0.021052632,0,0.463157895,0.168421053,0.610526316,1.263157895
95,0.020833333,0,0.458333333,0.166666667,0.604166667,1.25
96,0.020618557,0,0.453608247,0.164948454,0.597938144,1.237113402
97,0.020408163,0,0.448979592,0.163265306,0.591836735,1.224489796
98,0.02020202,0,0.444444444,0.161616162,0.585858586,1.212121212
99,0.02,0,0.44,0.16,0.58,1.2
